"id","series_0","series_1","acss_0","acss_1","comparison"
1,"OOOOOOO","OOOOOOR",18.527390041484,19.6252161347983,"series_1"
2,"OOOOORO","OOOOORR",19.9225356742592,20.740506282542,"series_1"
3,"OOOOROO","OOOOROR",20.4305117518481,21.0293622350521,"series_1"
4,"OOOORRO","OOOORRR",20.909865233072,21.7492261913719,"series_1"
5,"OOOROOO","OOOROOR",19.914020154082,21.2122302124215,"series_1"
6,"OOORORO","OOORORR",20.8796381932584,21.9921709036991,"series_1"
7,"OOORROO","OOORROR",21.1238393194748,21.3856261714514,"series_1"
8,"OOORRRO","OOORRRR",21.6194508003211,21.8990169988695,"series_1"
9,"OOROOOO","OOROOOR",19.914020154082,20.8982319227797,"series_1"
10,"OOROORO","OOROORR",21.0799194311867,22.2428857003388,"series_1"
11,"OOROROO","OOROROR",21.3123671123868,21.0749096441015,"series_0"
12,"OORORRO","OORORRR",22.1836586688041,22.6797522967967,"series_1"
13,"OORROOO","OORROOR",21.3025047418132,22.0278641844974,"series_1"
14,"OORRORO","OORRORR",21.6673348444179,22.1118101749291,"series_1"
15,"OORRROO","OORRROR",22.2414288286936,22.1697717910776,"series_0"
16,"OORRRRO","OORRRRR",22.1010882345532,21.7492261913719,"series_0"
17,"OROOOOO","OROOOOR",20.4305117518481,21.1734773429078,"series_1"
18,"OROOORO","OROOORR",21.0375078714409,22.121730115823,"series_1"
19,"OROOROO","OROOROR",20.8486089278691,21.2251303724878,"series_1"
20,"OROORRO","OROORRR",21.7356816441485,22.1118101749291,"series_1"
21,"OROROOO","OROROOR",21.3123671123868,21.9056581431584,"series_1"
22,"ORORORO","ORORORR",20.395154592852,22.0678135877268,"series_1"
23,"ORORROO","ORORROR",22.0273276272758,21.5765707058318,"series_0"
24,"ORORRRO","ORORRRR",22.1285618049398,21.9921709036991,"series_0"
25,"ORROOOO","ORROOOR",21.1238393194748,22.071028206812,"series_1"
26,"ORROORO","ORROORR",21.7950081891126,22.6162438675977,"series_1"
27,"ORROROO","ORROROR",22.0273276272758,21.7144338079253,"series_0"
28,"ORRORRO","ORRORRR",21.552507909898,22.2428857003388,"series_1"
29,"ORRROOO","ORRROOR",22.2414288286936,22.5336400595523,"series_1"
30,"ORRRORO","ORRRORR",22.0030069458495,22.121730115823,"series_1"
31,"ORRRROO","ORRRROR",22.4674849071,22.0307220284852,"series_0"
32,"ORRRRRO","ORRRRRR",22.1641339248358,20.740506282542,"series_0"
33,"ROOOOOO","ROOOOOR",19.9225356742592,21.2797428743092,"series_1"
34,"ROOOORO","ROOOORR",20.837796018606,22.0307220284852,"series_1"
35,"ROOOROO","ROOOROR",21.0375078714409,21.2478150946631,"series_1"
36,"ROOORRO","ROOORRR",21.7627651272477,22.1697717910776,"series_1"
37,"ROOROOO","ROOROOR",21.0799194311867,20.9984461013209,"series_0"
38,"ROORORO","ROORORR",20.4260245371102,21.5765707058318,"series_1"
39,"ROORROO","ROORROR",21.7950081891126,21.3681278079775,"series_0"
40,"ROORRRO","ROORRRR",21.8242553779508,21.3856261714514,"series_0"
41,"ROROOOO","ROROOOR",20.8796381932584,21.37121559183,"series_1"
42,"ROROORO","ROROORR",20.4260245371102,21.7144338079253,"series_1"
43,"ROROROO","ROROROR",20.395154592852,19.8361833989029,"series_0"
44,"RORORRO","RORORRR",20.7130913422999,21.0749096441015,"series_1"
45,"RORROOO","RORROOR",21.6673348444179,22.0256655669151,"series_1"
46,"RORRORO","RORRORR",20.7818252446122,21.2251303724878,"series_1"
47,"RORRROO","RORRROR",22.0030069458495,21.2478150946631,"series_0"
48,"RORRRRO","RORRRRR",21.8133360175091,21.0293622350521,"series_0"
49,"RROOOOO","RROOOOR",20.909865233072,22.1593407767073,"series_1"
50,"RROOORO","RROOORR",21.7627651272477,22.5336400595523,"series_1"
51,"RROOROO","RROOROR",21.7356816441485,22.0256655669151,"series_1"
52,"RROORRO","RROORRR",21.8985262762511,22.0278641844974,"series_1"
53,"RROROOO","RROROOR",22.1836586688041,22.1109799515542,"series_0"
54,"RRORORO","RRORORR",20.7130913422999,21.9056581431584,"series_1"
55,"RRORROO","RRORROR",21.552507909898,20.9984461013209,"series_0"
56,"RRORRRO","RRORRRR",21.5665730285688,21.2122302124215,"series_0"
57,"RRROOOO","RRROOOR",21.6194508003211,22.3168187468941,"series_1"
58,"RRROORO","RRROORR",21.8242553779508,22.071028206812,"series_1"
59,"RRROROO","RRROROR",22.1285618049398,21.37121559183,"series_0"
60,"RRRORRO","RRRORRR",21.5665730285688,20.8982319227797,"series_0"
61,"RRRROOO","RRRROOR",22.1010882345532,22.1593407767073,"series_1"
62,"RRRRORO","RRRRORR",21.8133360175091,21.1734773429078,"series_0"
63,"RRRRROO","RRRRROR",22.1641339248358,21.2797428743092,"series_0"
64,"RRRRRRO","RRRRRRR",21.3527872487776,19.6252161347983,"series_0"
